Standard
Act CXVI of 1996
Govt. Decree 118/2011. (VII. 11.)
HAEA Decree 1/2022. (IV. 29.)
HAEA Regulatory Guide 1.1 v1:2014
HAEA Regulatory Guide N1.2 v1:2018
HAEA Regulatory Guide 1.5 v2:2013
HAEA Regulatory Guide A1.5 v3:2018
HAEA Regulatory Guide A1.5 v4:2019
HAEA Regulatory Guide N1.7 v1:2015
HAEA Regulatory Guide N1.7 v2:2020
HAEA Regulatory Guide N1.7 v4:2021
HAEA Regulatory Guide N1.8 v1:2015
HAEA Regulatory Guide N1.8 v2:2019
HAEA Regulatory Guide 1.11 v3:2014
HAEA Regulatory Guide AFKN1.11 v1:2019
HAEA Regulatory Guide AKFN1.11 v1 Appendix 1
HAEA Regulatory Guide N1.11 v1:2020
HAEA Regulatory Guide AKF1.12 v1:2018
HAEA Regulatory Guide N1.12 v1:2020
HAEA Regulatory Guide 1.15 v2:2005
HAEA Regulatory Guide 1.16 v3:2006
HAEA Regulatory Guide 1.17 v3:2005
HAEA Regulatory Guide 1.18 v2:2005
HAEA Regulatory Guide 1.19 v4:2007
HAEA Regulatory Guide 1.20 v3:2005
HAEA Regulatory Guide 1.21 v2:2005
HAEA Regulatory Guide 1.22 v3:2005
HAEA Regulatory Guide 1.24 v4:2015
HAEA Regulatory Guide A1.24 v5:2021
HAEA Regulatory Guide 1.25 v4:2013
HAEA Regulatory Guide 1.26 v2:2007
HAEA Regulatory Guide 1.27 v2:2007
HAEA Regulatory Guide 1.28 v2:2016
HAEA Regulatory Guide 1.29 v2:2005
HAEA Regulatory Guide 1.31 v2:2007
HAEA Regulatory Guide AKF1.32 v2:2019
HAEA Regulatory Guide 1.34 v1:2015
HAEA Regulatory Guide AF1.34 v2:2020
HAEA Regulatory Guide A1.39 v2:2016
HAEA Regulatory Guide 1.43 v1:2013
HAEA Regulatory Guide AKFN1.43 v2:2020
HAEA Regulatory Guide 1.48 v3:2015
HAEA Regulatory Guide AKFT1.48 v1:2018
HAEA Regulatory Guide 1.52 v2:2015
HAEA Regulatory Guide 1.53 v2:2015
HAEA Regulatory Guide F1.53 v3:2022
HAEA Regulatory Guide 1.54 v1:2015
HAEA Regulatory Guide A1.54 v2:2019
HAEA Regulatory Guide AKN1.56 v1:2018
HAEA Regulatory Guide 2.1 v2:2006
HAEA Regulatory Guide 2.2 v2:2006
HAEA Regulatory Guide 2.3 v2:2006
HAEA Regulatory Guide 2.4 v2:2006
HAEA Regulatory Guide 2.5 v2:2006
HAEA Regulatory Guide 2.6 v2:2006
HAEA Regulatory Guide 2.7 v2:2006
HAEA Regulatory Guide 2.8 v2:2006
HAEA Regulatory Guide 2.9 v2:2006
HAEA Regulatory Guide 2.10 v2:2006
HAEA Regulatory Guide 2.11 v2:2006
HAEA Regulatory Guide 2.12 v2:2006
HAEA Regulatory Guide 2.13 v2:2006
HAEA Regulatory Guide 2.14 v2:2006
HAEA Regulatory Guide AFN2.16 v1:2016
HAEA Regulatory Guide 2.18 v1:2015
HAEA Regulatory Guide AKFN2.18 v2:2022
HAEA Regulatory Guide AKFN2.19 v1:2018
HAEA Regulatory Guide 3.1 v3:2016
HAEA Regulatory Guide 3.3 v3:2015
HAEA Regulatory Guide 3.4 v3:2015
HAEA Regulatory Guide 3.5 v2:2006
HAEA Regulatory Guide 3.6 v3:2015
HAEA Regulatory Guide A3.6 v4:2018
HAEA Regulatory Guide 3.7 v2:2006
HAEA Regulatory Guide 3.8 v2:2005
HAEA Regulatory Guide 3.10 v2:2015
HAEA Regulatory Guide 3.11 v2:2014
HAEA Regulatory Guide A3.11 v3:2018
HAEA Regulatory Guide A3.11 v4:2021
HAEA Regulatory Guide 3.13 v3:2016
HAEA Regulatory Guide 3.15 v3:2016
HAEA Regulatory Guide A3.15 v4:2019
HAEA Regulatory Guide 3.18 v4:2015
HAEA Regulatory Guide 3.25 v3:2015
HAEA Regulatory Guide 3.29 v1:2015
HAEA Regulatory Guide A3.29 v2:2020
HAEA Regulatory Guide 3.31 v1:2016
HAEA Regulatory Guide N3a.1 v1:2017
HAEA Regulatory Guide N3a.2 v1:2018
HAEA Regulatory Guide N3a.4 v1:2020
HAEA Regulatory Guide N3a.5 v1:2015
HAEA Regulatory Guide N3a.6 v2:2018
HAEA Regulatory Guide N3a.11 v1:2015
HAEA Regulatory Guide N3a.11 v2:2021
HAEA Regulatory Guide N3a.12 v1:2015
HAEA Regulatory Guide N3a.13 v1:2015
HAEA Regulatory Guide N3a.15 v1:2015
HAEA Regulatory Guide N3a.15 v2:2021
HAEA Regulatory Guide N3a.18 v1:2021
HAEA Regulatory Guide N3a.29 v1:2021
HAEA Regulatory Guide N3a.32 v1:2015
HAEA Regulatory Guide N3a.32 v2:2022
HAEA Regulatory Guide N3a.33 v1:2015
HAEA Regulatory Guide N3a.33 v2:2021
HAEA Regulatory Guide N3a.34 v1:2015
HAEA Regulatory Guide N3a.34 v2:2019
HAEA Regulatory Guide N3a.34 v3:2020
HAEA Regulatory Guide N3a.35 v1:2015
HAEA Regulatory Guide N3a.35 v2:2019
HAEA Regulatory Guide N3a.36 v1:2015
HAEA Regulatory Guide N3a.36 v2:2021
HAEA Regulatory Guide N3a.37 v1:2015
HAEA Regulatory Guide N3a.37 v2:2021
HAEA Regulatory Guide N3a.38 v1:2018
HAEA Regulatory Guide N3a.39 v1:2015
HAEA Regulatory Guide N3a.40 v1:2015
HAEA Regulatory Guide N3a.40 v2:2021
HAEA Regulatory Guide N3a.41 v1:2015
HAEA Regulatory Guide N3a.41 v2:2019
HAEA Regulatory Guide N3a.42 v1:2015
HAEA Regulatory Guide N3a.42 v2:2022
HAEA Regulatory Guide N3a.43 v1:2015
HAEA Regulatory Guide N3a.45 v1:2020
HAEA Regulatory Guide N3a.46 v1:2018
HAEA Regulatory Guide N3a.49 v1:2020
HAEA Regulatory Guide N3a.50 v1:2021
HAEA Regulatory Guide 4.2 v3:2015
HAEA Regulatory Guide 4.3 v2:2005
HAEA Regulatory Guide 4.4 v2:2005
HAEA Regulatory Guide 4.7 v1:2005
HAEA Regulatory Guide 4.8 v3:2006
HAEA Regulatory Guide A4.8 v4:2019
HAEA Regulatory Guide N4.9 v1:2015
HAEA Regulatory Guide A4.10 v1:2016
HAEA Regulatory Guide AF4.10 v1:2018
HAEA Regulatory Guide 4.12 v3:2016
HAEA Regulatory Guide 4.13 v3:2016
HAEA Regulatory Guide 4.14 v2:2013
HAEA Regulatory Guide 4.16 v2:2005
HAEA Regulatory Guide 4.17 v1:2006
HAEA Regulatory Guide 4.21 v1:2013
HAEA Regulatory Guide A4.21 v1:2016
HAEA Regulatory Guide 4.22 v2:2015
HAEA Regulatory Guide AKFN4.23 v1:2020
HAEA Regulatory Guide 6.1.3v1 v1:2007
HAEA Regulatory Guide 6.1.4v1 v1:2007
